group,n,mean,CI_low,CI_high
overall,906,11.720543580886314,9.917118185061955,13.523968976710673
season=0,151,6.03962255794702,3.7947906628496404,8.284454453044399
season=1,755,12.856727785474172,10.747362881376263,14.966092689572081
